Community Name,Category,Crime Count,Date
COVENTRY HILLS,Break & Enter - Dwelling,1,1/1/2017 0:00
COVENTRY HILLS,Theft FROM Vehicle,9,1/1/2017 0:00
COVENTRY HILLS,Theft OF Vehicle,5,1/1/2017 0:00
CRANSTON,Assault (Non-domestic),1,1/1/2017 0:00
CRANSTON,Break & Enter - Commercial,4,1/1/2017 0:00
CRANSTON,Break & Enter - Dwelling,1,1/1/2017 0:00
CRANSTON,Break & Enter - Other Premises,1,1/1/2017 0:00
CRANSTON,Theft FROM Vehicle,15,1/1/2017 0:00
CRANSTON,Theft OF Vehicle,6,1/1/2017 0:00
CRESCENT HEIGHTS,Assault (Non-domestic),2,1/1/2017 0:00
CRESCENT HEIGHTS,Break & Enter - Commercial,6,1/1/2017 0:00
CRESCENT HEIGHTS,Break & Enter - Dwelling,1,1/1/2017 0:00
CRESCENT HEIGHTS,Break & Enter - Other Premises,2,1/1/2017 0:00
CRESCENT HEIGHTS,Commercial Robbery,1,1/1/2017 0:00
CRESCENT HEIGHTS,Street Robbery,1,1/1/2017 0:00
CRESCENT HEIGHTS,Theft FROM Vehicle,11,1/1/2017 0:00
CRESCENT HEIGHTS,Theft OF Vehicle,5,1/1/2017 0:00
CRESCENT HEIGHTS,Violence Other (Non-domestic),3,1/1/2017 0:00
CURRIE BARRACKS,Theft FROM Vehicle,1,1/1/2017 0:00
DALHOUSIE,Assault (Non-domestic),2,1/1/2017 0:00
DALHOUSIE,Break & Enter - Dwelling,4,1/1/2017 0:00
DALHOUSIE,Theft FROM Vehicle,4,1/1/2017 0:00
DALHOUSIE,Violence Other (Non-domestic),1,1/1/2017 0:00
DEER RIDGE,Theft FROM Vehicle,2,1/1/2017 0:00
DEER RIDGE,Theft OF Vehicle,1,1/1/2017 0:00
DEER RIDGE,Violence Other (Non-domestic),1,1/1/2017 0:00
DEER RUN,Break & Enter - Commercial,1,1/1/2017 0:00
DEER RUN,Theft FROM Vehicle,4,1/1/2017 0:00
DEERFOOT BUSINESS CENTRE,Commercial Robbery,1,1/1/2017 0:00
DEERFOOT BUSINESS CENTRE,Theft FROM Vehicle,1,1/1/2017 0:00
DISCOVERY RIDGE,Break & Enter - Other Premises,1,1/1/2017 0:00
DISCOVERY RIDGE,Theft FROM Vehicle,1,1/1/2017 0:00
DISCOVERY RIDGE,Violence Other (Non-domestic),1,1/1/2017 0:00
DOUGLASDALE/GLEN,Break & Enter - Dwelling,3,1/1/2017 0:00
DOUGLASDALE/GLEN,Theft FROM Vehicle,14,1/1/2017 0:00
DOUGLASDALE/GLEN,Theft OF Vehicle,5,1/1/2017 0:00
DOVER,Assault (Non-domestic),3,1/1/2017 0:00
DOVER,Break & Enter - Commercial,1,1/1/2017 0:00
DOVER,Break & Enter - Other Premises,4,1/1/2017 0:00
DOVER,Theft FROM Vehicle,11,1/1/2017 0:00
DOVER,Theft OF Vehicle,8,1/1/2017 0:00
DOVER,Violence Other (Non-domestic),1,1/1/2017 0:00
DOWNTOWN COMMERCIAL CORE,Assault (Non-domestic),18,1/1/2017 0:00
DOWNTOWN COMMERCIAL CORE,Break & Enter - Commercial,8,1/1/2017 0:00
DOWNTOWN COMMERCIAL CORE,Street Robbery,2,1/1/2017 0:00
DOWNTOWN COMMERCIAL CORE,Theft FROM Vehicle,23,1/1/2017 0:00
DOWNTOWN COMMERCIAL CORE,Theft OF Vehicle,9,1/1/2017 0:00
DOWNTOWN COMMERCIAL CORE,Violence Other (Non-domestic),9,1/1/2017 0:00
DOWNTOWN EAST VILLAGE,Assault (Non-domestic),5,1/1/2017 0:00
DOWNTOWN EAST VILLAGE,Break & Enter - Commercial,6,1/1/2017 0:00
DOWNTOWN EAST VILLAGE,Break & Enter - Other Premises,1,1/1/2017 0:00
DOWNTOWN EAST VILLAGE,Theft FROM Vehicle,3,1/1/2017 0:00
DOWNTOWN EAST VILLAGE,Violence Other (Non-domestic),1,1/1/2017 0:00
DOWNTOWN WEST END,Break & Enter - Commercial,1,1/1/2017 0:00
DOWNTOWN WEST END,Street Robbery,1,1/1/2017 0:00
DOWNTOWN WEST END,Theft FROM Vehicle,1,1/1/2017 0:00
DOWNTOWN WEST END,Violence Other (Non-domestic),1,1/1/2017 0:00
EAGLE RIDGE,Assault (Non-domestic),2,1/1/2017 0:00
EAST FAIRVIEW INDUSTRIAL,Assault (Non-domestic),1,1/1/2017 0:00
EAST FAIRVIEW INDUSTRIAL,Break & Enter - Commercial,2,1/1/2017 0:00
EAST FAIRVIEW INDUSTRIAL,Theft FROM Vehicle,1,1/1/2017 0:00
EAST FAIRVIEW INDUSTRIAL,Theft OF Vehicle,1,1/1/2017 0:00
EAST FAIRVIEW INDUSTRIAL,Violence Other (Non-domestic),1,1/1/2017 0:00
EAST SHEPARD INDUSTRIAL,Break & Enter - Commercial,7,1/1/2017 0:00
EAST SHEPARD INDUSTRIAL,Theft FROM Vehicle,4,1/1/2017 0:00
EAST SHEPARD INDUSTRIAL,Theft OF Vehicle,7,1/1/2017 0:00
EASTFIELD,Theft FROM Vehicle,3,1/1/2017 0:00
EASTFIELD,Theft OF Vehicle,1,1/1/2017 0:00
EAU CLAIRE,Assault (Non-domestic),1,1/1/2017 0:00
EAU CLAIRE,Break & Enter - Commercial,3,1/1/2017 0:00
EAU CLAIRE,Theft FROM Vehicle,2,1/1/2017 0:00
EDGEMONT,Assault (Non-domestic),1,1/1/2017 0:00
EDGEMONT,Break & Enter - Dwelling,2,1/1/2017 0:00
EDGEMONT,Break & Enter - Other Premises,1,1/1/2017 0:00
EDGEMONT,Theft FROM Vehicle,15,1/1/2017 0:00
EDGEMONT,Theft OF Vehicle,2,1/1/2017 0:00
ELBOW PARK,Break & Enter - Dwelling,1,1/1/2017 0:00
ELBOW PARK,Theft FROM Vehicle,3,1/1/2017 0:00
ELBOW PARK,Theft OF Vehicle,1,1/1/2017 0:00
ELBOYA,Break & Enter - Commercial,1,1/1/2017 0:00
ELBOYA,Theft FROM Vehicle,1,1/1/2017 0:00
ELBOYA,Theft OF Vehicle,1,1/1/2017 0:00
ERIN WOODS,Break & Enter - Commercial,2,1/1/2017 0:00
ERIN WOODS,Commercial Robbery,1,1/1/2017 0:00
ERIN WOODS,Theft FROM Vehicle,23,1/1/2017 0:00
ERIN WOODS,Theft OF Vehicle,1,1/1/2017 0:00
ERIN WOODS,Violence Other (Non-domestic),1,1/1/2017 0:00
ERLTON,Theft FROM Vehicle,1,1/1/2017 0:00
EVANSTON,Break & Enter - Dwelling,2,1/1/2017 0:00
EVANSTON,Theft FROM Vehicle,2,1/1/2017 0:00
EVANSTON,Theft OF Vehicle,3,1/1/2017 0:00
EVERGREEN,Break & Enter - Dwelling,1,1/1/2017 0:00
EVERGREEN,Break & Enter - Other Premises,1,1/1/2017 0:00
EVERGREEN,Theft FROM Vehicle,1,1/1/2017 0:00
EVERGREEN,Theft OF Vehicle,3,1/1/2017 0:00
